,title,paragraph,label
540,americaâ€™s inconvenient suv boom,"will they switch to hybrids? unless the us imposes a far higher petrol tax, that seems unlikely. the perfect time to increase the tax is when oil prices are low. such a step looks highly improbable in the near future. a majority of congress opposes any curbs on fossil fuel consumption. last week, it voted to gut mr obamaâ€™s modest steps to restrict carbon emissions. little wonder that us car culture has not yet hit a peak. in india, meanwhile, it is just starting to rev up.",unfavorable
367,premier oil plans further falklands drilling,"it spite of the technical challenges and competing sovereign claims over the reserves, mr hawkings insisted that oil services suppliers were keen to back the development, under plans also supported by the falklands government and the ukâ€™s department of energy and climate change.",unfavorable
157,uk renewable energy plans spark cost fears,"ed miliband, energy secretary, will on wednesday set out a package designed to show how the government will meet its self-imposed target of cutting carbon emissions by 34 per cent by 2020, and its commitment to the european union that 15 per cent of the countryâ€™s energy will come from renewable sources by the same year.",favorable
178,political ill wind blows a hole in the climate change debate,"my sunny disposition is wavering as the copenhagen summit on climate change approaches. i believe that the governments of the world have taken the wrong approach to the problem â€“ and if they had taken a different tack 12 years ago in kyoto, we would be much closer to dealing credibly with climate change.",unfavorable
149,uk raises tax for top earners,"he also used the budget to commit the government to cutting carbon emissions by 34 per cent by 2020, and offered additional funding for energy efficient homes and buildings. there was also funding for green manufacturing.",favorable
144,"the link source: refiners, stern, protectionism and teenagers","stern: we need a $2,000bn â€˜green stimulusâ€™ (ft) â€“ but climate change represents a great business and investment opportunity (the times)",favorable
663,a flaring tax can end this wasteful and damaging practice,"environmentalists should support this effort, even if they are opposed to fossil fuels. natural gas produced by the us shale boom has been the key driver of reductions in american greenhouse gas emissions in the last decade, as cheap gas displaced coal. globally, natural gas in emerging markets can help expand access to energy while curbing air pollution, as in china, where gas has been replacing the use of coal for heat.",favorable
240,carbon emissions insurance to be launched,"the policy was designed for the bank in response to the move by the european unionâ€™s climate change committee to ban trading in credits earned from plants that destroyed two sources of greenhouse gases â€“ hfc-23, a byproduct of refrigerant manufacturing, and adipic acid.",favorable
59,the marketer who sees tourists in a green light," visit london has been reviewing its own energy use, including business travel. it is now looking at offsetting the effects of carbon emissions caused by flights of its own employees, hoping â€œthis could influence thinking across the leisure industryâ€.",favorable
293,treasury theology will stifle energy investment,"ministers say this will secure clean and reliable electricity at a minimum cost to consumers. the energy and climate change select committee has been examining the draft energy bill, which will establish this framework, and many witnesses have warned that the proposals will in fact raise the cost of capital, hamper competition and deter investment. ",unfavorable
440,green bond growth of $40bn forecast for this year,"while the market has come a long way, the cbi said there was still a way to go to meet international energy agency projections of the capital flows needed to address dangerous climate change. the agency estimates the finance requirement to be about $1tn per year above business as usual. ",unfavorable
427,climate change is a business problem,"and despite exxonâ€™s apparent complacency, it is becoming more and more difficult for governments to ignore the pressures caused by climate change, says stuart mclachlan, chief executive of anthesis, the sustainability consultancy. â€œthe evidence for climate change is such that there is growing certainty that governments are going to react.â€ ",favorable
451,abu dhabi to invest Â£525m in one of ukâ€™s largest wind farms,"project backers blamed challenging ground conditions, but cancellation also coincided with the announcement of a less generous subsidy regime for renewable energy projects by the uk department of energy and climate change.",unfavorable
693,esther duflo and abhijit banerjee: â€˜ours is a social scienceâ€™,"it is a combination of habits, infrastructure, nudging by making it easy and so on. all of these tools have to be deployed together and economists have perhaps been a little too focused on carbon tax as the end all and be all of everything. the carbon tax happens to be a very deeply polarising thing. i think if we go back to carbon tax and it is not avoidable, it has to be with dividends and, in addition, we have to think about all the other tools as well.",unfavorable
434,climate a toxic topic for republicans,"in the longer term, however, climate change has become what mr inglis calls a â€œflashpoint in the culture warsâ€, and indelibly linked in republican minds with bigger government and more regulation.",unfavorable
657,glencore to continue bringing in younger leaders,"glencore is one of the worldâ€™s biggest producers of thermal coal, which is burnt in power stations to generate electricity. mr glasenberg said he believed coal still â€œhad a futureâ€ in spite of the shift to cleaner sources of energy. â€œit will be needed for baseload power.â€",unfavorable
288,arctic exploration,these are important considerations. but seeking out more oil and gas cannot set back efforts to protect the environment â€“ including reducing carbon emissions. more exploration should be reconciled with greater efforts to control demand. this will do more to reduce emissions than hoping for a wholesale switch away from fossil fuels in the us energy supply.,favorable
550,"oil majors see role as friend, not foe, in energy talks","even the american petroleum institute, the influential oil industry group, which has lobbied against policies such as the obama administrationâ€™s clean power plan, says it wants to move past the debate on whether climate change is a threat or not, and focus instead on practical solutions.",favorable
514,the great public sector pension liability,"the transformation of drax, as mr woodford points out, was a high-risk project, and he reckons the budget has pulled the rug from underneath its finances. drax shares had already halved, and have plunged by almost another third since last week. the move to scrap the climate change levy, he argues, undermines the confidence of investors in government-backed projects.",unfavorable
492,the guardian as contrarian indicator,"by supporting these companies, investors not only continue to fund unsustainable business models that are bound to make climate change worse, but they also risk their financial assets becoming worthless if international agreements on climate change are met.",unfavorable
601,republican plutocratsâ€™ greed could outlast trump,"indeed, with regard to the environment alone he may have unilaterally delivered a knockout punch against world climate policy by withdrawing the us from the paris agreement and overseeing the dismantling of the us environmental protection agency. ",unfavorable
174,world food summit draft declaration,"5.climate change poses additional severe risks to food security and the agriculture sector. its expected impact is particularly fraught with danger for smallholder farmers in developing countries, notably the least developed countries (ldcs), and for already vulnerable populations. any recipe for confronting the challenges of climate change must allow for mitigation options and a firm commitment to the adaptation of agriculture, including through conservation and sustainable use of genetic resources for food and agriculture.",favorable
397,energy price gap with the us to hurt europe for â€˜at least 20 yearsâ€™,"in findings likely to inflame claims eu climate change policies are damaging the blocâ€™s manufacturers, the international energy agency said europe will lose a third of its global market share of energy-intensive exports over the next two decades because energy prices will stay stubbornly higher than those in the us.",unfavorable
32,the fallacy that nuclear energy will be our saviour,"in terms of the relative costs of reducing carbon emissions to tackle global warming, nuclear power comes at the end of a long list of options including: energy efficiency, combined heat and power, wind power, micro hydro, energy crops and wave power. nuclear is also the least efficient at creating employment.",favorable
254,labour drops support for third heathrow runway,ms eagle said that labour believed that aviation should be included in britainâ€™s target for carbon emissions cuts â€“ contrary to her partyâ€™s position while in government. ,favorable
560,"climate, weather and the politics of energy","as this linkage becomes more obvious the public demand for action will grow more intense and that in turn will raise a serious political problem. even politicians who fully accept the risks of climate change cannot change the weather because heatwaves and other current extreme weather conditions are being caused by the change that has already occurred. cutting carbon emissions to zero immediately â€” even if that were practical â€” would not alter the situation although it could, of course, prevent further deterioration. equally, countries cannot not isolate themselves. the weather does not recognise political boundaries. in such circumstances the only viable response is adaptation and the development of provision to cope with the increased risks. the approach is sensible but it can be expensive. taking precautions against the risks of a heatwave is not a simple process.",unfavorable
81,climate clash threatens eu-us summit,"mr grayâ€™s words will come as a disappointment to european governments such as germany and the uk, which hope the us will change its stance on climate change, as has already occurred in a growing number of us states and municipalities, notably california, which has introduced mandatory caps for carbon emissions.",unfavorable
355,circular economy takes on the â€˜take-make-dumpâ€™ mentality,"and i would argue that the attention on climate change may be misguided, leading to another mismatch between business, business schools and the â€œproblemâ€. what is needed is a shift in our thinking about the way we use resources, materials and energy within the economy rather than endlessly trying to remedy the consequences of the current â€œtake-make-dumpâ€ linear economy model.",unfavorable
107,sarkozy given emissions challenge,"the targets â€“ to cut carbon emissions by 20 per cent, generate 20 per cent of energy from renewables and improve energy efficiency by 20 per cent, all by 2020 â€“ have come under intensifying attack from industrial leaders and some politicians in the month since they were unveiled. ",unfavorable
512,consider montreal as we look forward to paris,"the montreal protocol is widely recognised as the worldâ€™s most effective treaty. it has phased out 98 per cent of the production and consumption of cfcs and nearly 100 other chemicals that both destroy stratospheric ozone and warm the climate. its success has put the stratospheric ozone layer on the path to recovery by mid-century, while also avoiding more warming than any other policy action. it should remind us that we can solve major parts of climate change quickly with a tailored-made regime, without slowing our economy.",favorable
600,smart money should back solar,"solar energy combined with lithium battery storage makes possible the delivery of reliable, off-grid power at a residential or community level. smart technology can accurately monitor consumption, which means off-grid solar systems can be installed and maintained cost-efficiently and cost-effectively, however remote the location. houses, schools, health centres, even whole communities, can be powered off-grid, cheaply and without burning fossil fuels. we estimate that households in developing countries could immediately save up to 80 per cent in energy costs by switching to solar technology from diesel and petrol.",favorable
656,the tunnels promising to overhaul how our shopping is delivered,"by 2050 the company estimates its technology could cut current carbon dioxide emissions from delivery vehicles by a third, while ensuring that 94 per cent of the cityâ€™s population can reach a station to collect their goods (known as â€œdelivery nodesâ€) in less than 15 minutes on foot or by bicycle.",favorable
151,uk car emissions exceed forecasts,"mr baker said: â€œthis government continues to push ahead with massive road-building schemes that cost millions more than predicted, as well as increase traffic and carbon emissions. these huge schemes are responsible for thousands of tonnes of extra carbon emissions every year.â€",unfavorable
680,life in 2025: what will the future look like?,"china is set to hold a dominant share in the global market for technologies and products that support climate change-combating measures â€” such as solar panels, wind turbines, electric vehicles and batteries used in them â€” because of the countryâ€™s programs to promote the introduction of renewable energy and boost related industries. ",favorable
30,gleneagles must be one step in a longer campaign,"between them, china and india have lifted literally hundreds of millions of people out of absolute poverty over the past decade. this has not come without significant environmental and social costs and there is still much to be done but it is a remarkable achievement. all the same. it is clear that developed countries need to move quickly not only to be competitive with, but also to strengthen their dialogue with india and china, and other emerging economies. this is essential if we are to find equitable solutions to global environmental problems. india and china could be consuming 20 per cent of the worldâ€™s energy output by 2020. so i was delighted that president hu jintao of china and prime minister manmohan singh of india, along with leaders from other major emerging markets, were at gleneagles in july to participate in the group of eightâ€™s discussions. i made the issues of african poverty and climate change the priorities of 2005 and our g8 presidency because these are among the most serious challenges we face in the world today. now is a good time to take stock of what has been achieved so far and what more remains to be done in 2005 and beyond. ",favorable
687,big real estate owner pledges property overhaul to cull emissions,"nuveen, which also owns sydneyâ€™s 183 clarence street, said it planned to use 100 per cent renewable energy, monitor energy usage to ensure properties were operating as efficiently as possible, install solar panels on site and consider refurbishment rather than redevelopment. ",favorable
653,how xi jinping threw malaysian rare earths a lifeline,"the government also wants to remain active in rare earths because of their use in high-tech, low-carbon industries such as new energy vehicles and advanced composite materials, which fit with its industrial development goals. the plant could become a catalyst for creating a green technology cluster, said saleem ali, a professor at the university of delaware and contributor to a 2014 government paper advocating increased investment in rare earths.",favorable
98,gore turns to silicon valley in green fight,"for instance, kpcb and generation advocate putting a price on emitting carbon dioxide through a tax or a cap and trade system. mr gore also credited mr doerr with the success of a campaign in california to cap carbon emissions state-wide. ",favorable
220,obscure changes to tax and welfare take the strain,i revealed early in the afternoon that business is to be hit with a Â£1bn stealth tax based on carbon emissions.,unfavorable
196,pink picks,"energy source: obama, congress and energy president barack obama is expected to announce this week loan guarantees for two new nuclear reactors, underlining the administrationâ€™s impatience to move forward americaâ€™s clean energy future given delays by congress. coming on the heals of the administrationâ€™s move to take on regulation of carbon emissions, the push for signals obamaâ€™s determination to move forward clean energy initiatives that have been held hostage by a congress that cannot agree on the path toward a low carbon future.",favorable
16,crude prices turn higher despite demand fears,"crude oil futures dipped in early trade on tuesday on concerns that slowing economic growth would trim oil demand. the organisation for economic co-operation and development cited high energy costs as a factor for its cut in global economic growth estimates this year and next. the move came ahead of wednesdayâ€™s us crude inventory report, which is expected to show another increase in us crude and gasoline stockpiles, as well as a lift in distillates, which include diesel and heating oil inventories. ipe brent for july delivery declined 12 cents to $48.25 a barrel in late afternoon london trade. the contract later turned round and settled 34 cents higher at $48.82 in new york. july west texas intermediate also eased in early trade but ended 51 cents higher at $49.67 on the new york mercantile exchange. jpmorgan said it expected crude imports to have fallen in the week to may 20, with imports from west africa and the middle east moving lower. â€œweâ€™ve also heard of crude from venezuela and argentina loaded this month destined for asia,â€ the bank said. the early fall in oil prices came despite reports that chinaâ€™s summer power shortage will be 20 per cent greater than previously forecast. china is a large user of fuel oil and diesel for electricity generation, so power shortages may increase demand for oil as a measure to help minimise the power shortages. barclays capital said that chinese demand for additional fuel oil and diesel could have an impact in strengthening net trade in refined products, which have weakened over the early part of this year as chinaâ€™s refiners raised export levels for some products. in the carbon emissions futures market, 2005 allowances gained 70 cents to â‚¬19 a tonne, matching mondayâ€™s record peak, on the european climate exchange. the rise in carbon prices has been pushed higher by rising gas and electricity prices and on fears industry may emit more carbon than the targets set by the european union. gold gained 50 cents to $417.50/$418.20 a troy ounce in late london trade, up from the late quote of $417/$417.50 a troy ounce in new york on monday. base metals were also slightly firmer following several days of price declines on the recent ascent of the dollar to a seven-month high against the euro on monday. the three-month copper price ended $15 higher at $3,050 a tonne at the close of open outcry trading on the london metal exchange. spot copper prices are trading at a $200 premium to the three-month benchmark price, as copper inventories remain relatively low. the three-month lme aluminium price added $6.5 to $1,741.5 a tonne. ",favorable
455,"europe gas demand to stay weak until mid-2030, says iea economist","instead europe has spent vast sums to subsidise renewable energy sources, such as wind and solar, as it seeks to reduce carbon emissions. but this has led to high energy prices for businesses and households.",unfavorable
463,china fears us republican opposition in climate change talks,"this time around chinese advisers and industry groups have built careful models for when carbon emissions would peak, based on projections of slowing economic growth, an expected shift towards a more service-oriented economy, and a smaller share for coal in the nationâ€™s energy mix. ",favorable
216,a carbon border tax can curb climate change,"as global growth picks up after the economic crisis, carbon emissions are going back up too. with china and india back on track to double their gross domestic product every decade, and with coal providing nearly 30 per cent of global energy, the chances of stabilising and reducing emissions are low. indeed, little progress has been made in the last two decades. only recessions lower emissions â€“ and then only for a short time.",unfavorable
153,barroso plays his hand to stay in brussels game,"even some barroso loyalists would not go that far. but they would certainly describe him as the most effective commission president since jacques delors, who stood from 1985 to 1995. mr barrosoâ€™s most impressive achievement was to push through laws last december to reform energy usage and fight climate change, they say. mr barroso is the first man to have faced the task of managing a commission that, with 27 members, not all of whom seem overburdened with responsibilities, is almost at bursting point. by centralising decision-making procedures under his authority, he has avoided paralysis in policymaking and shown future commission presidents how to approach the job, his supporters say.",favorable
226,europe slithers towards fiscal union,"european public goods must be paid for by the european taxpayer. the key reform as far as revenue is concerned is to grow the proportion of the autonomous â€˜own resourcesâ€™ of the eu (now only 25 per cent) and thereby to reduce direct national contributions based on gni. the eu institutions should engage with each other in developing a coherent package of new streams of revenue, including eu taxes on carbon emissions, financial transactions and aviation, as well as a distinctive tranche of vat. the new scheme must be ready to be introduced in time to fund the new medium-term multi-annual financial framework due in 2013. ",favorable
337,"droughts, deluges and raging debates","according to parker, these are issues that governments â€“ and we as individuals â€“ need to confront. we have already, he points out, experienced local catastrophe in the shape of the damage caused by hurricane katrina, the earthquake that struck new zealand, and the tohoku earthquake and tsunami in japan. instead of arguing over whether or not and to what extent our climate is changing, and who is to blame, we should now turn our attention to anticipating and developing remedies for what, on the evidence of the earlier, comparable climate change in the 17th century, are likely to be recurring calamities of this kind with grave long-term consequences. ",unfavorable
95,"yo, kyoto â€“ bush shifts his stance on global warming","but the white houseâ€™s interpretation of its activities on climate change contrasts sharply with that of other governments at the talks and of environmental groups. according to their view, mr bushâ€™s new-found interest in global warming is intended for voters who will choose his successor next year, while the us continues to resist the stringent cutting of carbon emissions that scientists say is necessary to make a real difference.",unfavorable
719,there is far too much groupthink in esg investing,"perhaps, says bonzon, it is time for investors to â€œgrasp that esg is not about achieving systematic outperformanceâ€. its merits lie elsewhere, he notes. â€œit can be a useful tool for investors to express their values in portfolios and hence derive additional non-monetary benefits from investment activity.â€ ",unfavorable
22,how to make a difference on climate change ,"another remarkable step forward this year has been the european unionâ€™s greenhouse gas emissions trading scheme, which issues industries with tradeable permits for the amount of carbon dioxide they are allowed to produce. this could be an effective way of reducing emissions but i believe the the scheme has one big potential drawback. if businesses start to simply accept that they have to pay a certain amount for carbon emissions allowances, they will start to see the scheme as a tax on carbon. but if carbon trading goes the way of the tax on petrol, you will not change peopleâ€™s behaviour â€“ just as raising the tax on petrol does not get people out of their cars. it becomes simply a revenue-raising instrument. in order to prevent this happening and ensure a change in behaviour, i believe the scheme should be adapted to include a system of benchmarks on carbon efficiency by which companies in different industries can be judged. these benchmarks should be made tougher to reach each year, each year in order to encourage businesses to find new ways of reducing their emissions.",favorable
236,nuclear spring threatens to turn into harsh winter,others will argue that carbon emissions can be reduced more simply by investing in energy efficiency rather than in the long and uncertain returns of nuclear power. ,unfavorable
548,the rich world must take greater responsibility for climate change,"we are sharing our modest resources with the developing world, helping small island states and african nations with renewable energy. on monday french president franÃ§ois hollande and i will launch an international solar alliance with 121 solar-rich countries in the tropics, aiming to bring affordable solar power to villages that are off the grid. we expect the same from the world with respect to responding to climate change. the principle of common but differentiated responsibilities should be the bedrock of our collective enterprise. anything else would be morally wrong. ",favorable
468,german plea to sweden over threat to coal mines,"mr gabriel, who is also germanyâ€™s economy minister, fired off the letter after mr lÃ¶fvenâ€™s centre-left coalition government won a september election in which the climate change impact of vattenfallâ€™s german coal operations was a big issue.",unfavorable
411,manufacturers demand co-ordinated european energy policy,"â€œit is not helpful at the european commission governance level that there are separate commissioners for energy, for the environment and for climate change,â€ mr potier said. â€œeurope needs to think with one mind on energy.â€",favorable
717,there is far too much groupthink in esg investing,"what was not discussed was the huge mistake todayâ€™s fund managers are making: the fervent embrace of the idea that investing according to environmental, social and governance principles is both a good thing and something that guarantees long-term outperformance. ",unfavorable
431,uk urban rivers at cleanest in 21 years,"the findings surprised the cardiff university scientists who did the research because they thought the benefits of cleaning up city rivers might have been offset by problems caused by climate change, meaning overall prevalence rates would fall.",favorable
523,barack obamaâ€™s climate plan makes for canny politics,"mr obamaâ€™s proposals are detailed and complicated, and will now be subject to every sort of legal challenge . they are unlikely to be implemented in full. in themselves they will not solve the global problem of climate change, nor force any other country to follow suit. but they do serve to define the direction of american energy policy and also of american electoral politics. ",unfavorable
238,"the prize, perils and price of chinaâ€™s plan","china is moving into uncharted territory, risking instability if growth slows too much and damage for the world if it cannot reduce carbon emissions faster. but the change is essential and the gamble carefully measured. the plan identifies three key objectives. each involves a radical shift. china now sees growth as driven by: a rising share of consumption; moving to a low-carbon economy; and innovation. this contrasts with the past pattern of growth led by investment and high-energy and low-cost manufacturing. ",favorable
13,us takes new tack on climate change," southern's plan fits mr bush's belief that the best way to tackle climate change is through technology. dwight evans, the company's executive vice-president of external affairs, says an innovation drive comparable to the cold war space race is needed to meet the world's growing energy needs while protecting the environment.",favorable
673,asset managers lobby brussels to delay sustainable investing rules,"a central plank of the euâ€™s push to fund the green transition, the esg disclosure regulations aim to clamp down on â€œgreenwashingâ€ by forcing asset managers to provide clear information about the sustainability of their investments.",unfavorable
348,obama prepares for new push on climate change,the epa has already presented a proposal under the clean air act to limit carbon emissions from new coal-fired plants. but the agency missed its own april deadline to finalise the regulations. ,unfavorable
604,indonesiaâ€™s coal king stands firm amid clean-energy challenges,mr thohir said he is also eyeing a carbon-capture technology for coal power plants currently being developed by some of adaroâ€™s japanese partners that he hopes will eventually enable near-zero carbon emissions. he envisions a future where electric cars will be widely used and recharged with this â€œclean coalâ€.,favorable
237,meps back financial transaction tax,"algirdas semeta, eu taxation commissioner, said he believed such a tax was necessary at a global level â€œto help fund our international challenges, such as climate change and developmentâ€. ",favorable
649,renewable energy push barely dents fossil fuel dependence,"while there is much focus on creating renewable electricity, mr brown said greater attention needs to be paid to clean up sectors like aviation and shipping. governments also need to take the lead in developing low-carbon technologies, rather than the private sector, given the scale of what needs to be achieved. ",unfavorable
583,"rwe suspends dividend, warns on 2016 loss","along with other utilities, rwe has struggled with a fall in the cost of wholesale electricity prices amid a growth in alternative energy sources under angela merkelâ€™s governmentâ€™s push for german to rely more on renewables.",favorable
382,osborne urged to curb energy costs,he said government policies on climate change were likely to add as much as 50 per cent to the electricity prices paid by industry by 2020.,unfavorable
595,the lights are dimming on king coalâ€™s hold over energy markets,"other countries with higher use of renewable energy report similar results. over 2006-16, the proportion of wind and solar power in britainâ€™s electricity supply grew from 1.3 per cent to 14.2 per cent, but the total number of minutes when customers lost power â€” excluding â€œexceptionalâ€ events â€” dropped by 41 per cent.",favorable
570,free lunch: industrial policy need not be a dirty word,"for example, a new study by mit researchers shows that the vast majority of current us car use â€” 87 per cent of vehicle-days â€” could already be satisfied by existing electric car technology. carbon emissions from transport could be therefore reduced significantly if greater availability of car-sharing for the remaining 13 per cent of vehicle-days encouraged more drivers to own electric cars. that suggests a big gain for climate change policy, as well as green vehicle manufacturing, can be achieved through a regulatory and planning environment more favourable to car-sharing solutions for travel that requires combustion engines today.",favorable
476,climate change groups split on fossil fuel divestment,"â€œchurch investors have an excellent record of achieving change through engagement, including on climate change issues,â€ said edward mason, head of responsible investment at the church commissioners, the denominationâ€™s endowment fund.",favorable
556,obama freezes new coal mining permits,some experts point to a contradiction at the heart of us policy under mr obama: it promotes the sale of coal from public land with generous leasing terms while seeking to curb carbon emissions from coal burning.,unfavorable
432,obama changes the weather,"the biggest gain to the environmental protection agencyâ€™s tough regulations is likely to be its impact on next yearâ€™s climate change summit in paris. having failed to produce a decisive outcome at the copenhagen summit in 2009, the us has allowed the un process to stagnate. countries such as china and india have lost interest in international negotiations and are going it alone to improve domestic energy efficiency. these steps, however, are no substitute for global action. ",unfavorable
518,us takes the lead on climate change,"superficially, mr obamaâ€™s â€œclean power planâ€ is a purely domestic matter, setting targets for individual states to implement. it fleshes out an existing ambition to cut us carbon emissions by 17 per cent from 2005 levels. even if the states implement the plans (rather than devote their energies towards legal challenge), electricity accounts for just a third of us emissions.",favorable
116,it going green: built with power on the doorstep,"probably the biggest energy saving comes from the innovative cooling method: waste heat from the power station will fuel absorption chillers, which will in turn produce chilled water to cool the data centres, slashing carbon emissions by a third. in the cold canberra winter, this will be supplemented by free air cooling.",favorable
313,police raid deutsche hq in tax probe,the extensive operation â€“ which prosecutors said involved some 500 officials across germany â€“ widens the scope of a long-running investigation into tax fraud over trading carbon emissions permits. ,unfavorable
232,republicans move to curb emissions regulation,"the epa is also facing court challenges from 13 states to its ability to regulate carbon emissions. the actions illustrate how, in the absence of federal climate legislation, the states have become a battleground on the issue of environmental policy.",unfavorable
333,whitehall at risk from aunt maude,having been pretty critical of the department of energy and climate change in the past it is time to come to its defence.,favorable
453,european energy nominee sells oil holdings to appease meps,spainâ€™s nominee to become the euâ€™s next energy and climate change commissioner has sold two large shareholdings in oil companies in hopes of appeasing parliamentarians threatening to reject his candidacy because of conflicts of interest.,unfavorable
369,ex frackedra,"fuel poverty, the creation of jobs, energy self-sufficiency and the development of technology that may reduce the impact of more polluting fuels are just some of the factors which need to be taken into account in any debate alongside the concern we all have about the impact of fossil fuels upon climate changeâ€¦",unfavorable
27,action is needed on energy prices and emissions,"rising gas prices have led to increasing use of coal to generate power. coal generates far more carbon emissions than gas, causing the price of carbon in the european unionâ€™s emissions trading scheme to rocket from around â‚¬8 per tonne to highs of close to â‚¬30, although it has fallen back. in britainâ€™s more liberalised energy markets, power prices are much more sensitive to movements in the value of carbon emissions than in much of the rest of europe. our power prices have therefore risen much faster with business reporting year-on-year price rises of between 50-80 per centand 80 per cent .",favorable
703,pm orders uk energy companies to speed up repairs after storm arwen,but the uk government announced in august it would fund a research programme into how to increase resilience of national infrastructure in the face of extreme weather events.,favorable
35,market insight: fuel cells rapidly regaining popularity,scepticism about green technology has waned in recent years as concerns about energy prices remaining higher for longer and the impact of carbon emissions on climate change have become more widespread. ,favorable
259,comment: global warming needs a more innovative solution,"devoting just 0.2 per cent of gdp â€“ roughly $100bn a year â€“ to green energy r&d would have a much higher likelihood than our current approach of creating the framework for the kind of game-changing breakthroughs needed to fuel a carbon-free future. if we could find alternatives such as solar panels that are cheaper than fossil fuels over the next two to four decades, everyone would switch and global warming would be fixed. not only would such a solution be less expensive than trying to cut carbon emissions, it would reduce global warming more quickly. and, unlike carbon cuts, this is a solution that developing countries could embrace.",favorable
110,budget 2008 at a glance,government to take advice on whether carbon emissions reduction target can be raised to 80 per cent by 2050. climate change levy will increase in line with inflation from april.,favorable
484,investment consultants told to â€˜man upâ€™ on stranded assets,"towers watson would disagree, having put out a 14-page report on the topic in january. the report looked only at probable restrictions on carbon emissions (other drivers of asset stranding might include water scarcity, pollution limits and policy changes such as abandoning nuclear fuel). it attempted to consider a range of scenarios and assess the potential impact on the entire value chain, down to residential electricity use.",favorable
537,hope and change canadian style,"the new prime minister is expected to take a stronger stand on climate change, in contrast with mr harper who has been slammed for pushing new energy pipelines at the expense of environmental concerns. ",favorable
298,july was hottest month in us history,"the searing heat has set off a fresh round of debate about climate change in the us, boosted by the coincidental release of research suggesting a link between global warming and some extreme weather events around the world last year.",unfavorable
410,climate focus drives demand for â€˜greenâ€™ bonds,"with billions of dollars of investment required to cope with climate change, the market for â€œgreenâ€ bonds that finance environmentally friendly projects has taken off â€“ and is forecast to grow rapidly.",favorable
674,food businesses bank on sustainability-linked loans,"in food and agriculture, targets range from environmental goals to helping smallholders. for mitr pholâ€™s sll, the targets included reducing greenhouse gas emissions and energy and water consumption, as well as improving the ratio of fresh to burnt cane used in its sugar. (the practice of burning off the outer leaves of sugar cane makes harvesting easier but causes pollution and harms wildlife.) ",favorable
686,what the sacking of danoneâ€™s faber tells us about stakeholderism,oil-friendly states fight back against sustainable investment trend (pew trusts),unfavorable
269,shift in green rhetoric damps sentiment,"the new mantra of the department of energy and climate change is â€œdecarbonisation not deindustrialisationâ€. - greg barker, minister for climate change ",unfavorable
262,household energy bills to rise by Â£100 a year,"charges to support the reduction in carbon emissions are expected to rise from around 8 per cent of energy bills to nearly 20 per cent over the current decade. but the study, produced by the committee on climate change, argues that the prospect of more stable gas prices and improvements in the efficiency of domestic appliances could see household energy bills hold steady or rise more slowly by 2020 after several years of steep inflation.",favorable
141,four fixes for americaâ€™s fiscal fiasco,"the obama administration has already promised a cap-and-trade regime for carbon emissions. a carbon tax would achieve the same environmental goal with greater clarity, fewer opportunities for gaming and a firmer commitment to gather additional revenue. a cap-and-trade system with all permits auctioned and some other tweaks would be the next best thing.",favorable
475,"global game changers in property, landscape, and interiors","the increasing challenge over the next few years will be to make buildings zero carbon, so that they consume no more energy than they generate. the forecast last month by the world meteorological organization that 2014 was on course to be the hottest year on record will only increase the pressure to reduce carbon emissions. ",favorable
626,trump administration agrees co2 will warm planet,"last year the us became the first country to announce its intention to withdraw from the un climate agreement signed in paris, and the epa is planning to roll back regulations on methane, a potent greenhouse gas. ",unfavorable
228,cancÃºn a â€˜beacon of hopeâ€™ for climate deal,a global agreement on climate change moved a step closer over the weekend as governments ended the un cancÃºn talks with a series of accords on key elements of an overarching deal.,favorable
383,coal industry heats climate change debate with fossil fuel push,"organisations such as foe, greenpeace and oxfam have called for christiana figueres, executive secretary of the un framework convention on climate change, to withdraw from addressing the coal and climate summit.",unfavorable
654,france seeks compulsory green reporting standards for eu companies,"france is pushing the eu to introduce compulsory environmental reporting standards for european companies and apply a common definition of â€œgreenâ€ financial products, according to finance minister bruno le maire.",favorable
186,rabobank: dutch bank focuses on windmills,"so some of the challenges of climate change should be ones readily solved by the dutch consensus-driven â€œpolder modelâ€. in some respects then, it is surprising that the country most readily associated with windmills is not in fact ranked as a leader in the field of renewable energy.",favorable
425,global warming paper â€˜was not suppressedâ€™,"the controversy prompted a varied reaction from climate researchers, some of whom noted that prof bengtsson has had links with the global warming policy foundation, a think-tank that regularly questions the risks of climate change and the cost of tackling it.",unfavorable
576,trump likely to slash and burn obama climate policy,"the clean power plan, a comprehensive and ambitious set of regulations for carbon emissions by electricity generators proposed by the environmental protection agency under obama, was one of the principal means for the us to comply with its â€œparisâ€ obligations. ",unfavorable
270,the sunny side of global warming for uk,"overheated buildings, overflowing sewers and a greater risk of harmful viruses growing in warmer sea water are some of the other dangers cited in the assessment, which will now be used to help the government develop a national adaptation programme to prepare the country for climate change. ",unfavorable
